novel_author,novel_introduction,novel_name,novel_redu,novel_shoucang,novel_startdate,novel_status,novel_tag,novel_updatedate,novel_url,novel_zishu
FF7KH,"克赛尔特大陆，有着诸多神秘和奇幻的大陆，大陆一共分为五个国家，分别是大国巴德尔，辽阔之地米歌特，海洋之岛武和，异族国度青之森，中土大陆夏之国，被世人称为五大国。当然还有众多小国和附属国家。而在大陆中有两个最重要的职业推动着世界一个是【探险者】，而另一个则是【开拓者】。,
      怀抱着梦想与自由的人们，属于他们的故事开始了。",Wind redemption,<1万,0,3天前,"
                        ,
                            连载中                    ",幻想|战斗|异界|2018轻之文库创想物语大赏1st,4小时前,http://www.linovel.net/book/105582.html,10.2万
默琼水秋,"武术———那是继承了上千年智慧与技巧的神奇魔术。,
雾都渝庆市的北武女子高校在今天即将迎来一名转校生。,
而与此同时，一年一度的全国武祭大赛地区选拔赛也是展开了报名。各个地区的武校都将为这场“战斗”而活跃青春洒下热血！不过在此之前，我们的转校生似乎遇到了些麻烦！？,
“呐！巧儿，今晚和学姐一起睡吧！学姐会好，好，照，顾，你的哟！”,
“才不要！”",武斗少女,2.2万,24,2018-08-25 22:35,"
                        ,
                            连载中                    ",战斗|校园|百合|2018轻之文库创想物语大赏1st,3小时前,http://www.linovel.net/book/105469.html,4.6万
黑崎荧,"『你害怕死亡吗？』,
『然而，死亡真的是代表一切的终结吗？』,
『还是说——死亡......』,
『——才是赋予真正一切的开始？』,
2037年2月25日——夜晚——学校，主人公时雨再次邂逅了一名自称灵魂使的谜之少女，由于这名少女像极了那本该在十年前的夜菱市事件中死去的汐宫凛祢，时雨也因此感到惊讶不已，随之站在他眼前的少女再次开口对他说……,
“把控这个世界的死亡率，铲除那些向现世散布扭曲死亡的异端，是我的工作(Order)。”",Re：Soul Nights～夜下的镇魂曲,5.7万,22,7天前,"
                        ,
                            连载中                    ",幻想|战斗|恋爱|2018轻之文库创想物语大赏1st,3小时前,http://www.linovel.net/book/105498.html,1.6万
SaltedFish,多作者共同描写的盛大史书！ 从遥远的天空俯瞰下界，大地生机盎然，海洋碧波万顷，各种魔兽，动物，山河，城市，国家，宛如画卷般美丽。 然而，芸芸众生在这片大陆上出生，成长，欢笑，悲泣，憎恶，斗争，夺取，最终毁灭。 人们在大陆上画出自己的国境线，并为此勾心斗角，徒然浪费了金钱，时间与生命。 就这样，在不同的国家里，有人无助，有人执着，有人迷惘，有人坚定。每个人在自己的烦恼中挣扎并行动，于是，属于他们自己的传说开始了 ,新兰大陆·黎萌传说,<1万,8,4天前,"
                        ,
                            连载中                    ",幻想|战斗|异界,3小时前,http://www.linovel.net/book/105573.html,8165
Rouge红,"“超能力，究竟是什么？”,
这是由科学主导的世界。世间大部分现象可以经由现代科学得到合理的解释。,
——而超能力，不在其中。,
那它又是什么呢？,
对自己身上的未知力量抱有恐惧和厌恶，苦苦追寻答案的超能力者米那，在某天深夜目击了同为超能力者的少年少女们之间的战斗。,
当少年邂逅少女，故事的大幕就此拉开——,
,
",超能力革命,7.7万,50,2018-07-21 20:44,"
                        ,
                            连载中                    ",校园|科幻|超能力|2018轻之文库创想物语大赏1st,3小时前,http://www.linovel.net/book/104747.html,5.8万
小毯神北,"开局没人形打毛线，好不容易捡了只人形回来，却只知道吃吃喝喝，睡睡，,
emnm，我当初怎么会把这货捡回来。",人形契约,10万,82,2018-06-03 22:27,"
                        ,
                            连载中                    ",幻想|战斗|后宫,2小时前,http://www.linovel.net/book/104419.html,12万
黑糖醬,"　　世界的地表由一座岛屿、一片大陆，和汪洋大海所组成，除此以外就没有了。岛上有人，大陆上有怪物，大海裡没有任何生命居住。岛屿名为尤莉，其中有一城市，城市裡有普通人，有特异人士。普通人多为成年男性，自称市民，平均年龄70岁；特异人士几乎全是年轻女性，鲜少有男性，可操纵大气中的属性能量乙太，过了25岁之后能力衰减，被世人称作乙太少女。,
,
　　某日，岛上有一名身披破布的17岁少年陈大中正在被人追逐着，一名戴着微笑面具的17岁少女席琳娜前来，使其脱离危险，但因某些原因，席琳娜被大中按在地上，从此之后，大中就被迫成为乙太少女学院裡唯一的男学生。,
,
　　席琳娜的「sweet heart」。,
,
　　大中才刚来学校，就莫名成为全校上下众所皆知的人物。,
,
　　于惹恼学姊之后，大中暴露自己也能操纵乙太这个事实，且功力绝不是泛泛之辈等级，在校长莫名被政府勒令停职、岛上的禁卫军接管学校后，各种秘密开始浮出水面。,
,
　　身为岛上最强的席琳娜居然是冒牌的，大中又梦到自己小时候其实并非男性，究竟大中的真实身分是谁？学院的未来又会如何呢？,
,
(全文亦于原创星球、二维秀、巴哈姆特、SOSreader、EP连载)",乙太少女学院 那座岛上的「sweet heart」,3.9万,38,2018-08-24 00:05,"
                        ,
                            连载中                    ",校园|后宫|超能力,2小时前,http://www.linovel.net/book/105441.html,5.4万
花鸟,"原因不明地失去了记忆，倒在荒野的洛塔尔醒来之后，在他身边守着的是一名有着温暖笑容的少女。,
为了寻找跟记忆有关的线索，洛塔尔决定与之同行，却在途中捡到了另一个失忆的少女！,
今天难道是什么失忆症的爆发日吗？！,
从各种意义上来说都非常“不妙”组合就此诞生，踏上了旅途。,
这是一个关于兵器与约定的故事。,
关于爱与守护的故事。",断剑的墨尔菲斯,214.9万,2528,2016-03-25 17:19,"
                        ,
                            连载中                    ",幻想|战斗|恋爱,2小时前,http://www.linovel.net/book/100066.html,45.3万
CrobatSpr,该剧本为安攻略支线，不可与安主线同时进行。如果在自由者路线通过这条支线clear安，可以开启两个人的城市（安）后续剧情。,童话幻想国度（安攻略支线）,1.9万,10,4天前,"
                        ,
                            已完结                    ",幻想|恋爱|治愈|永远的7日之都,2小时前,http://www.linovel.net/book/105566.html,1.2万
初霜小九Okami,"普里阿墨斯之女卡珊德拉，神蛇洗耳的预言者，,
没有海伦的倾国倾城，没有波吕克赛娜的好运，,
她说的每一件事、每一句话，都遭人嘲笑、不信任，,
也许深陷这样无助的处境，不幸的特洛伊公主选择堕墙自尽，,
却意外开始了另一段与众不同的人生，命运的线向她展开——,
城外有强权强势的阿伽门农、不可小觑的阿基里斯，,
城内还有阴险狡诈的帕里斯、威胁感全开的阿波罗，,
但她注定选择一人，与他同生共死。",【希腊神话】特洛伊的太阳,3.9万,30,2018-08-23 16:07,"
                        ,
                            连载中                    ",幻想|战斗|恋爱|2018轻之文库创想物语大赏1st,2小时前,http://www.linovel.net/book/105430.html,3.5万
天祥院音痴,本文为《永远的7日之都》X轻之文库征文活动投稿，请谨慎阅读,愿汝归乡,1万,2,2018-08-13 13:20,"
                        ,
                            连载中                    ",幻想|异界|同人|永远的7日之都,2小时前,http://www.linovel.net/book/105220.html,2179
